#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
Cliv_1.0	scaffold143	NW_004973299.1	KB375414.1	GPS_001989208.1
Cliv_1.0	scaffold133	NW_004973300.1	KB375415.1	GPS_001989209.1
Cliv_1.0	scaffold145	NW_004973301.1	KB375416.1	GPS_001989210.1
Cliv_1.0	scaffold128	NW_004973302.1	KB375417.1	GPS_001989211.1
Cliv_1.0	scaffold149	NW_004973303.1	KB375418.1	GPS_001989212.1
Cliv_1.0	scaffold147	NW_004973304.1	KB375419.1	GPS_001989213.1
Cliv_1.0	scaffold151	NW_004973305.1	KB375420.1	GPS_001989214.1
Cliv_1.0	scaffold152	NW_004973306.1	KB375421.1	GPS_001989215.1
Cliv_1.0	scaffold131	NW_004973307.1	KB375422.1	GPS_001989216.1
Cliv_1.0	scaffold137	NW_004973308.1	KB375423.1	GPS_001989217.1
Cliv_1.0	scaffold150	NW_004973309.1	KB375424.1	GPS_001989218.1
Cliv_1.0	scaffold138	NW_004973310.1	KB375425.1	GPS_001989219.1
Cliv_1.0	scaffold156	NW_004973311.1	KB375426.1	GPS_001989220.1
Cliv_1.0	scaffold122	NW_004973312.1	KB375427.1	GPS_001989221.1
Cliv_1.0	scaffold148	NW_004973313.1	KB375428.1	GPS_001989222.1
Cliv_1.0	scaffold158	NW_004973314.1	KB375429.1	GPS_001989223.1
Cliv_1.0	scaffold159	NW_004973315.1	KB375430.1	GPS_001989224.1
Cliv_1.0	scaffold154	NW_004973316.1	KB375431.1	GPS_001989225.1
Cliv_1.0	scaffold163	NW_004973317.1	KB375432.1	GPS_001989226.1
Cliv_1.0	scaffold157	NW_004973318.1	KB375433.1	GPS_001989227.1
Cliv_1.0	scaffold164	NW_004973319.1	KB375434.1	GPS_001989228.1
Cliv_1.0	scaffold121	NW_004973320.1	KB375435.1	GPS_001989229.1
Cliv_1.0	scaffold165	NW_004973321.1	KB375436.1	GPS_001989230.1
Cliv_1.0	scaffold142	NW_004973322.1	KB375437.1	GPS_001989231.1
Cliv_1.0	scaffold168	NW_004973323.1	KB375438.1	GPS_001989232.1
Cliv_1.0	scaffold146	NW_004973324.1	KB375439.1	GPS_001989233.1
Cliv_1.0	scaffold162	NW_004973325.1	KB375440.1	GPS_001989234.1
Cliv_1.0	scaffold166	NW_004973326.1	KB375441.1	GPS_001989235.1
Cliv_1.0	scaffold170	NW_004973327.1	KB375442.1	GPS_001989236.1
Cliv_1.0	scaffold129	NW_004973328.1	KB375443.1	GPS_001989237.1
Cliv_1.0	scaffold167	NW_004973329.1	KB375444.1	GPS_001989238.1
Cliv_1.0	scaffold160	NW_004973330.1	KB375445.1	GPS_001989239.1
Cliv_1.0	scaffold177	NW_004973331.1	KB375446.1	GPS_001989240.1
Cliv_1.0	scaffold174	NW_004973332.1	KB375447.1	GPS_001989241.1
Cliv_1.0	scaffold123	NW_004973333.1	KB375448.1	GPS_001989242.1
Cliv_1.0	scaffold169	NW_004973334.1	KB375449.1	GPS_001989243.1
Cliv_1.0	scaffold178	NW_004973335.1	KB375450.1	GPS_001989244.1
Cliv_1.0	scaffold182	NW_004973336.1	KB375451.1	GPS_001989245.1
Cliv_1.0	scaffold114	NW_004973337.1	KB375452.1	GPS_001989246.1
Cliv_1.0	scaffold181	NW_004973338.1	KB375453.1	GPS_001989247.1
Cliv_1.0	scaffold185	NW_004973339.1	KB375454.1	GPS_001989248.1
Cliv_1.0	scaffold180	NW_004973340.1	KB375455.1	GPS_001989249.1
Cliv_1.0	scaffold179	NW_004973341.1	KB375456.1	GPS_001989250.1
Cliv_1.0	scaffold188	NW_004973342.1	KB375457.1	GPS_001989251.1
Cliv_1.0	scaffold189	NW_004973343.1	KB375458.1	GPS_001989252.1
Cliv_1.0	scaffold184	NW_004973344.1	KB375459.1	GPS_001989253.1
Cliv_1.0	scaffold191	NW_004973345.1	KB375460.1	GPS_001989254.1
Cliv_1.0	scaffold192	NW_004973346.1	KB375461.1	GPS_001989255.1
Cliv_1.0	scaffold171	NW_004973347.1	KB375462.1	GPS_001989256.1
Cliv_1.0	scaffold187	NW_004973348.1	KB375463.1	GPS_001989257.1
Cliv_1.0	scaffold173	NW_004973349.1	KB375464.1	GPS_001989258.1
Cliv_1.0	scaffold176	NW_004973350.1	KB375465.1	GPS_001989259.1
Cliv_1.0	scaffold186	NW_004973351.1	KB375466.1	GPS_001989260.1
Cliv_1.0	scaffold190	NW_004973352.1	KB375467.1	GPS_001989261.1
Cliv_1.0	scaffold198	NW_004973353.1	KB375468.1	GPS_001989262.1
Cliv_1.0	scaffold155	NW_004973354.1	KB375469.1	GPS_001989263.1
Cliv_1.0	scaffold201	NW_004973355.1	KB375470.1	GPS_001989264.1
Cliv_1.0	scaffold202	NW_004973356.1	KB375471.1	GPS_001989265.1
Cliv_1.0	scaffold197	NW_004973357.1	KB375472.1	GPS_001989266.1
Cliv_1.0	scaffold200	NW_004973358.1	KB375473.1	GPS_001989267.1
Cliv_1.0	scaffold194	NW_004973359.1	KB375474.1	GPS_001989268.1
Cliv_1.0	scaffold206	NW_004973360.1	KB375475.1	GPS_001989269.1
Cliv_1.0	scaffold207	NW_004973361.1	KB375476.1	GPS_001989270.1
Cliv_1.0	scaffold208	NW_004973362.1	KB375477.1	GPS_001989271.1
Cliv_1.0	scaffold193	NW_004973363.1	KB375478.1	GPS_001989272.1
Cliv_1.0	scaffold210	NW_004973364.1	KB375479.1	GPS_001989273.1
Cliv_1.0	scaffold199	NW_004973365.1	KB375480.1	GPS_001989274.1
Cliv_1.0	scaffold204	NW_004973366.1	KB375481.1	GPS_001989275.1
Cliv_1.0	scaffold212	NW_004973367.1	KB375482.1	GPS_001989276.1
Cliv_1.0	scaffold213	NW_004973368.1	KB375483.1	GPS_001989277.1
Cliv_1.0	scaffold209	NW_004973369.1	KB375484.1	GPS_001989278.1
Cliv_1.0	scaffold153	NW_004973370.1	KB375485.1	GPS_001989279.1
Cliv_1.0	scaffold205	NW_004973371.1	KB375486.1	GPS_001989280.1
Cliv_1.0	scaffold214	NW_004973372.1	KB375487.1	GPS_001989281.1
Cliv_1.0	scaffold183	NW_004973373.1	KB375488.1	GPS_001989282.1
Cliv_1.0	scaffold221	NW_004973374.1	KB375489.1	GPS_001989283.1
Cliv_1.0	scaffold217	NW_004973375.1	KB375490.1	GPS_001989284.1
Cliv_1.0	scaffold223	NW_004973376.1	KB375491.1	GPS_001989285.1
Cliv_1.0	scaffold215	NW_004973377.1	KB375492.1	GPS_001989286.1
Cliv_1.0	scaffold225	NW_004973378.1	KB375493.1	GPS_001989287.1
Cliv_1.0	scaffold224	NW_004973379.1	KB375494.1	GPS_001989288.1
Cliv_1.0	scaffold219	NW_004973380.1	KB375495.1	GPS_001989289.1
Cliv_1.0	scaffold228	NW_004973381.1	KB375496.1	GPS_001989290.1
Cliv_1.0	scaffold227	NW_004973382.1	KB375497.1	GPS_001989291.1
Cliv_1.0	scaffold196	NW_004973383.1	KB375498.1	GPS_001989292.1
Cliv_1.0	scaffold229	NW_004973384.1	KB375499.1	GPS_001989293.1
Cliv_1.0	scaffold161	NW_004973385.1	KB375500.1	GPS_001989294.1
Cliv_1.0	scaffold222	NW_004973386.1	KB375501.1	GPS_001989295.1
Cliv_1.0	scaffold234	NW_004973387.1	KB375502.1	GPS_001989296.1
Cliv_1.0	scaffold231	NW_004973388.1	KB375503.1	GPS_001989297.1
Cliv_1.0	scaffold172	NW_004973389.1	KB375504.1	GPS_001989298.1
Cliv_1.0	scaffold220	NW_004973390.1	KB375505.1	GPS_001989299.1
Cliv_1.0	scaffold238	NW_004973391.1	KB375506.1	GPS_001989300.1
Cliv_1.0	scaffold239	NW_004973392.1	KB375507.1	GPS_001989301.1
Cliv_1.0	scaffold218	NW_004973393.1	KB375508.1	GPS_001989302.1
Cliv_1.0	scaffold241	NW_004973394.1	KB375509.1	GPS_001989303.1
Cliv_1.0	scaffold242	NW_004973395.1	KB375510.1	GPS_001989304.1
Cliv_1.0	scaffold233	NW_004973396.1	KB375511.1	GPS_001989305.1
Cliv_1.0	scaffold203	NW_004973397.1	KB375512.1	GPS_001989306.1
Cliv_1.0	scaffold240	NW_004973398.1	KB375513.1	GPS_001989307.1
Cliv_1.0	scaffold195	NW_004973399.1	KB375514.1	GPS_001989308.1
Cliv_1.0	scaffold247	NW_004973400.1	KB375515.1	GPS_001989309.1
Cliv_1.0	scaffold248	NW_004973401.1	KB375516.1	GPS_001989310.1
Cliv_1.0	scaffold243	NW_004973402.1	KB375517.1	GPS_001989311.1
Cliv_1.0	scaffold236	NW_004973403.1	KB375518.1	GPS_001989312.1
Cliv_1.0	scaffold244	NW_004973404.1	KB375519.1	GPS_001989313.1
Cliv_1.0	scaffold226	NW_004973405.1	KB375520.1	GPS_001989314.1
Cliv_1.0	scaffold253	NW_004973406.1	KB375521.1	GPS_001989315.1
Cliv_1.0	scaffold252	NW_004973407.1	KB375522.1	GPS_001989316.1
Cliv_1.0	scaffold255	NW_004973408.1	KB375523.1	GPS_001989317.1
Cliv_1.0	scaffold250	NW_004973409.1	KB375524.1	GPS_001989318.1
Cliv_1.0	scaffold254	NW_004973410.1	KB375525.1	GPS_001989319.1
Cliv_1.0	scaffold230	NW_004973411.1	KB375526.1	GPS_001989320.1
Cliv_1.0	scaffold259	NW_004973412.1	KB375527.1	GPS_001989321.1
Cliv_1.0	scaffold102	NW_004973413.1	KB375528.1	GPS_001989322.1
Cliv_1.0	scaffold261	NW_004973414.1	KB375529.1	GPS_001989323.1
Cliv_1.0	scaffold260	NW_004973415.1	KB375530.1	GPS_001989324.1
Cliv_1.0	scaffold263	NW_004973416.1	KB375531.1	GPS_001989325.1
Cliv_1.0	scaffold251	NW_004973417.1	KB375532.1	GPS_001989326.1
Cliv_1.0	scaffold264	NW_004973418.1	KB375533.1	GPS_001989327.1
Cliv_1.0	scaffold266	NW_004973419.1	KB375534.1	GPS_001989328.1
Cliv_1.0	scaffold262	NW_004973420.1	KB375535.1	GPS_001989329.1
Cliv_1.0	scaffold246	NW_004973421.1	KB375536.1	GPS_001989330.1
Cliv_1.0	scaffold256	NW_004973422.1	KB375537.1	GPS_001989331.1
Cliv_1.0	scaffold270	NW_004973423.1	KB375538.1	GPS_001989332.1
Cliv_1.0	scaffold249	NW_004973424.1	KB375539.1	GPS_001989333.1
Cliv_1.0	scaffold258	NW_004973425.1	KB375540.1	GPS_001989334.1
Cliv_1.0	scaffold175	NW_004973426.1	KB375541.1	GPS_001989335.1
Cliv_1.0	scaffold269	NW_004973427.1	KB375542.1	GPS_001989336.1
Cliv_1.0	scaffold216	NW_004973428.1	KB375543.1	GPS_001989337.1
Cliv_1.0	scaffold275	NW_004973429.1	KB375544.1	GPS_001989338.1
Cliv_1.0	scaffold268	NW_004973430.1	KB375545.1	GPS_001989339.1
Cliv_1.0	scaffold274	NW_004973431.1	KB375546.1	GPS_001989340.1
Cliv_1.0	scaffold279	NW_004973432.1	KB375547.1	GPS_001989341.1
Cliv_1.0	scaffold280	NW_004973433.1	KB375548.1	GPS_001989342.1
Cliv_1.0	scaffold276	NW_004973434.1	KB375549.1	GPS_001989343.1
Cliv_1.0	scaffold271	NW_004973435.1	KB375550.1	GPS_001989344.1
Cliv_1.0	scaffold257	NW_004973436.1	KB375551.1	GPS_001989345.1
Cliv_1.0	scaffold273	NW_004973437.1	KB375552.1	GPS_001989346.1
Cliv_1.0	scaffold272	NW_004973438.1	KB375553.1	GPS_001989347.1
Cliv_1.0	scaffold235	NW_004973439.1	KB375554.1	GPS_001989348.1
Cliv_1.0	scaffold288	NW_004973440.1	KB375555.1	GPS_001989349.1
Cliv_1.0	scaffold289	NW_004973441.1	KB375556.1	GPS_001989350.1
Cliv_1.0	scaffold285	NW_004973442.1	KB375557.1	GPS_001989351.1
Cliv_1.0	scaffold292	NW_004973443.1	KB375558.1	GPS_001989352.1
Cliv_1.0	scaffold267	NW_004973444.1	KB375559.1	GPS_001989353.1
Cliv_1.0	scaffold293	NW_004973445.1	KB375560.1	GPS_001989354.1
Cliv_1.0	scaffold277	NW_004973446.1	KB375561.1	GPS_001989355.1
Cliv_1.0	scaffold296	NW_004973447.1	KB375562.1	GPS_001989356.1
Cliv_1.0	scaffold286	NW_004973448.1	KB375563.1	GPS_001989357.1
Cliv_1.0	scaffold287	NW_004973449.1	KB375564.1	GPS_001989358.1
Cliv_1.0	scaffold237	NW_004973450.1	KB375565.1	GPS_001989359.1
Cliv_1.0	scaffold291	NW_004973451.1	KB375566.1	GPS_001989360.1
Cliv_1.0	scaffold281	NW_004973452.1	KB375567.1	GPS_001989361.1
Cliv_1.0	scaffold282	NW_004973453.1	KB375568.1	GPS_001989362.1
Cliv_1.0	scaffold245	NW_004973454.1	KB375569.1	GPS_001989363.1
Cliv_1.0	scaffold304	NW_004973455.1	KB375570.1	GPS_001989364.1
Cliv_1.0	scaffold295	NW_004973456.1	KB375571.1	GPS_001989365.1
Cliv_1.0	scaffold294	NW_004973457.1	KB375572.1	GPS_001989366.1
Cliv_1.0	scaffold300	NW_004973458.1	KB375573.1	GPS_001989367.1
Cliv_1.0	scaffold305	NW_004973459.1	KB375574.1	GPS_001989368.1
Cliv_1.0	scaffold303	NW_004973460.1	KB375575.1	GPS_001989369.1
Cliv_1.0	scaffold298	NW_004973461.1	KB375576.1	GPS_001989370.1
Cliv_1.0	scaffold310	NW_004973462.1	KB375577.1	GPS_001989371.1
Cliv_1.0	scaffold309	NW_004973463.1	KB375578.1	GPS_001989372.1
Cliv_1.0	scaffold311	NW_004973464.1	KB375579.1	GPS_001989373.1
Cliv_1.0	scaffold313	NW_004973465.1	KB375580.1	GPS_001989374.1
Cliv_1.0	scaffold315	NW_004973466.1	KB375581.1	GPS_001989375.1
Cliv_1.0	scaffold307	NW_004973467.1	KB375582.1	GPS_001989376.1
Cliv_1.0	scaffold316	NW_004973468.1	KB375583.1	GPS_001989377.1
Cliv_1.0	scaffold278	NW_004973469.1	KB375584.1	GPS_001989378.1
Cliv_1.0	scaffold317	NW_004973470.1	KB375585.1	GPS_001989379.1
Cliv_1.0	scaffold308	NW_004973471.1	KB375586.1	GPS_001989380.1
Cliv_1.0	scaffold321	NW_004973472.1	KB375587.1	GPS_001989381.1
Cliv_1.0	scaffold319	NW_004973473.1	KB375588.1	GPS_001989382.1
Cliv_1.0	scaffold322	NW_004973474.1	KB375589.1	GPS_001989383.1
Cliv_1.0	scaffold324	NW_004973475.1	KB375590.1	GPS_001989384.1
Cliv_1.0	scaffold302	NW_004973476.1	KB375591.1	GPS_001989385.1
Cliv_1.0	scaffold318	NW_004973477.1	KB375592.1	GPS_001989386.1
Cliv_1.0	scaffold323	NW_004973478.1	KB375593.1	GPS_001989387.1
Cliv_1.0	scaffold301	NW_004973479.1	KB375594.1	GPS_001989388.1
Cliv_1.0	scaffold326	NW_004973480.1	KB375595.1	GPS_001989389.1
Cliv_1.0	scaffold328	NW_004973481.1	KB375596.1	GPS_001989390.1
Cliv_1.0	scaffold330	NW_004973482.1	KB375597.1	GPS_001989391.1
Cliv_1.0	scaffold299	NW_004973483.1	KB375598.1	GPS_001989392.1
Cliv_1.0	scaffold265	NW_004973484.1	KB375599.1	GPS_001989393.1
Cliv_1.0	scaffold297	NW_004973485.1	KB375600.1	GPS_001989394.1
Cliv_1.0	scaffold331	NW_004973486.1	KB375601.1	GPS_001989395.1
Cliv_1.0	scaffold332	NW_004973487.1	KB375602.1	GPS_001989396.1
Cliv_1.0	scaffold306	NW_004973488.1	KB375603.1	GPS_001989397.1
Cliv_1.0	scaffold314	NW_004973489.1	KB375604.1	GPS_001989398.1
Cliv_1.0	scaffold339	NW_004973490.1	KB375605.1	GPS_001989399.1
Cliv_1.0	scaffold340	NW_004973491.1	KB375606.1	GPS_001989400.1
Cliv_1.0	scaffold336	NW_004973492.1	KB375607.1	GPS_001989401.1
Cliv_1.0	scaffold338	NW_004973493.1	KB375608.1	GPS_001989402.1
Cliv_1.0	scaffold343	NW_004973494.1	KB375609.1	GPS_001989403.1
Cliv_1.0	scaffold344	NW_004973495.1	KB375610.1	GPS_001989404.1
Cliv_1.0	scaffold345	NW_004973496.1	KB375611.1	GPS_001989405.1
Cliv_1.0	scaffold232	NW_004973497.1	KB375612.1	GPS_001989406.1
Cliv_1.0	scaffold342	NW_004973498.1	KB375613.1	GPS_001989407.1
Cliv_1.0	scaffold348	NW_004973499.1	KB375614.1	GPS_001989408.1
Cliv_1.0	scaffold349	NW_004973500.1	KB375615.1	GPS_001989409.1
Cliv_1.0	scaffold350	NW_004973501.1	KB375616.1	GPS_001989410.1
Cliv_1.0	scaffold337	NW_004973502.1	KB375617.1	GPS_001989411.1
Cliv_1.0	scaffold334	NW_004973503.1	KB375618.1	GPS_001989412.1
Cliv_1.0	scaffold353	NW_004973504.1	KB375619.1	GPS_001989413.1
Cliv_1.0	scaffold354	NW_004973505.1	KB375620.1	GPS_001989414.1
Cliv_1.0	scaffold355	NW_004973506.1	KB375621.1	GPS_001989415.1
Cliv_1.0	scaffold333	NW_004973507.1	KB375622.1	GPS_001989416.1
Cliv_1.0	scaffold347	NW_004973508.1	KB375623.1	GPS_001989417.1
Cliv_1.0	scaffold352	NW_004973509.1	KB375624.1	GPS_001989418.1
